product_id,product_name,category,price,stock
85,Emina Sheet Mask,Personal Care,12000.00,250
86,Lovies Diapers,Baby,80000.00,140
87,Dancow 1+ Milk Formula 400g,Baby,58000.00,240
88,Cap Lang Telon Oil,Baby,25000.00,280
89,Cussons Baby Cream,Baby,20000.00,310
90,Nestle Baby Porridge,Baby,30000.00,190
91,Sampoerna Hijau (Cigarettes),Tobacco,24000.00,130
92,Gudang Garam Filter (Cigarettes),Tobacco,25500.00,105
93,Djarum Coklat (Cigarettes),Tobacco,23000.00,160
94,A Mild White (Cigarettes),Tobacco,26000.00,90
95,Starmild Blue (Cigarettes),Tobacco,23500.00,125
96,Kiky Notebook,Stationery,3500.00,550
97,Epson Printer Ink,Stationery,85000.00,80
98,3M Sticky Notes,Stationery,18000.00,220
99,HVS Paper (1 ream),Stationery,50000.00,300
100,Kiky Plastic Folder,Stationery,7000.00,420
101,Teh Pucuk Harum (Bottled Tea),Beverages,4000.00,1000
102,Kuku Bima Ginseng (Energy Drink),Beverages,6500.00,400
103,Bear Brand (Sterilized Milk),Beverages,10000.00,350
104,Ultra Milk (Pure Milk),Beverages,12000.00,500
105,Cimory Yoghurt,Beverages,15000.00,280
106,Head & Shoulders Shampoo,Personal Care,15000.00,320
107,Emina Facial Wash,Personal Care,24000.00,200
108,Acnes Moisturizer,Personal Care,18000.00,230
109,Scarlett Toner,Personal Care,32000.00,180
110,Wardah Sunscreen,Personal Care,42000.00,150
111,Drypers Diapers,Baby,82000.00,160
112,Bebelac Gold Milk Formula,Baby,180000.00,100
113,Mitu Baby Cotton,Baby,15000.00,380
114,Pure Baby Oil,Baby,21000.00,290
115,Zee Biscuits,Baby,27000.00,195
